hp_id,background_freq,sum_freq_across_diseases
HP:0000743,0.00027748,3.600000
HP:0000744,0.00094653,12.280256
HP:0000745,0.00015184,1.970000
HP:0000746,0.00096873,12.568333
HP:0000748,0.00083988,10.896667
HP:0000749,0.00048309,6.267576
HP:0000750,0.05964107,773.783248
HP:0000751,0.00154718,20.073095
HP:0000752,0.00901818,117.001895
HP:0000753,0.00006474,0.840000
HP:0000756,0.00030214,3.920000
HP:0000757,0.00026206,3.400000
HP:0000758,0.00064899,8.420000
HP:0000759,0.00017111,2.220000
HP:0000762,0.00356972,46.313571
HP:0000763,0.00311904,40.466449
HP:0000764,0.00062047,8.050000
HP:0000765,0.00193502,25.105000
HP:0000766,0.00157767,20.468687
HP:0000767,0.01494074,193.841125
HP:0000768,0.00864191,112.120113
HP:0000769,0.00012872,1.670000
HP:0000771,0.00407656,52.889245
HP:0000772,0.00414483,53.775000
HP:0000773,0.00405550,52.616024
HP:0000774,0.00982519,127.472030
HP:0000775,0.00020657,2.680000
HP:0000776,0.00408139,52.951941
HP:0000777,0.00020965,2.720000
HP:0000778,0.00088106,11.430897
HP:0000782,0.00022892,2.970000
HP:0000786,0.00626367,81.264860
HP:0000787,0.00392458,50.917502
HP:0000789,0.00299612,38.871667
HP:0000790,0.00473263,61.401122
HP:0000791,0.00030908,4.010000
HP:0000793,0.00067494,8.756667
HP:0000794,0.00020348,2.640000
HP:0000795,0.00037382,4.850000
HP:0000796,0.00012140,1.575000
HP:0000798,0.00254973,33.080152
HP:0000799,0.00014182,1.840000
HP:0000800,0.00050087,6.498333
HP:0000802,0.00151380,19.640000
HP:0000803,0.00030934,4.013333
HP:0000804,0.00015801,2.050000
HP:0000805,0.00126053,16.354060
HP:0000807,0.00055187,7.160000
HP:0000808,0.00052695,6.836667
HP:0000811,0.00039451,5.118333
HP:0000812,0.00031525,4.090000
HP:0000813,0.00135727,17.609192
HP:0000815,0.00354101,45.941063
HP:0000816,0.00013874,1.800000
HP:0000817,0.00516650,67.030129
HP:0000818,0.00115308,14.960000
HP:0000819,0.00613939,79.652462
HP:0000820,0.00071489,9.275000
HP:0000821,0.00868013,112.615965
HP:0000822,0.01594906,206.923098
HP:0000823,0.00765090,99.262755
HP:0000824,0.00448936,58.245002
HP:0000825,0.00174519,22.642143
HP:0000826,0.00220212,28.570241
HP:0000828,0.00026553,3.445000
HP:0000829,0.00127520,16.544386
HP:0000830,0.00104131,13.510000
HP:0000831,0.00165421,21.461667
